SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
350527.0,2,45.0,5,4,5,4,2,0,1,7
351913.0,1,28.0,4,3,5,4,2,1,1,7
351660.0,2,35.0,4,4,4,4,2,1,1,5
350562.0,2,29.0,2,2,4,5,2,1,0,0
350766.0,1,72.0,4,5,5,4,2,0,0,0
352210.0,2,62.0,3,3,3,5,2,1,1,3
351642.0,2,53.0,2,2,2,5,2,1,0,0
350320.0,2,46.0,2,4,2,5,2,1,1,0
350309.0,2,40.0,5,5,5,5,2,1,1,3
351876.0,2,46.0,4,3,3,4,2,1,1,8
352157.0,1,48.0,3,4,3,5,2,1,1,8
350713.0,1,34.0,4,4,3,5,2,1,1,9
350472.0,1,40.0,1,5,1,5,2,1,1,8
350178.0,1,41.0,1,3,2,5,2,1,1,0
352421.0,1,34.0,2,4,2,5,2,1,1,5
352128.0,1,72.0,4,4,4,4,2,1,0,0
352690.0,1,26.0,3,3,3,4,2,1,1,8
350062.0,2,50.0,4,4,2,5,2,1,1,7
350659.0,2,53.0,3,4,4,5,2,1,1,6
350251.0,2,38.0,3,2,4,4,2,1,0,0
351065.0,2,56.0,1,4,1,5,2,1,1,5
351806.0,1,67.0,3,4,2,4,2,1,0,0
351766.0,2,65.0,5,5,5,5,2,0,1,8
352144.0,2,30.0,3,4,4,3,2,1,1,3
350420.0,1,84.0,5,4,4,5,2,1,0,0
352237.0,2,25.0,1,1,1,4,2,1,1,3
352712.0,1,23.0,3,3,3,3,2,1,1,7
351877.0,2,36.0,4,4,4,3,2,1,0,0
351184.0,1,46.0,4,4,4,4,2,1,1,10
351614.0,2,34.0,2,2,2,4,2,1,1,10
352528.0,1,70.0,2,2,2,5,2,1,0,0
350296.0,2,64.0,2,2,2,4,2,1,0,0
350868.0,1,38.0,4,4,4,5,2,1,1,6
352263.0,1,53.0,3,4,3,4,2,1,0,0
352253.0,1,65.0,4,4,4,5,2,1,0,0
350650.0,1,35.0,2,2,4,4,2,1,1,6
351168.0,1,57.0,5,3,3,5,2,1,0,0
351793.0,1,26.0,2,2,4,5,2,1,0,0
352498.0,1,72.0,1,2,2,5,2,1,0,0
352515.0,2,35.0,4,2,4,5,2,1,1,3
350756.0,1,79.0,4,4,4,5,2,1,0,0
352709.0,1,52.0,2,2,2,5,2,1,1,6
350418.0,2,43.0,2,2,2,5,2,1,1,2
351672.0,1,84.0,4,4,4,4,2,1,0,0
351368.0,1,53.0,2,4,4,5,2,1,1,5
351144.0,2,41.0,3,2,4,4,2,1,1,2
351839.0,1,70.0,2,2,3,5,2,1,1,3
350377.0,1,74.0,2,2,3,5,2,1,0,0
